实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
3805,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3806,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3807,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3808,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3809,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3810,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3811,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3812,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3813,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3814,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3815,wY,wY,wwYY,糯性,长粒,糯性长粒
3816,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3817,wY,wy,wwYy,糯性,长粒,糯性长粒
3818,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3819,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3820,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3821,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3822,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3823,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3824,wY,wY,wwYY,糯性,长粒,糯性长粒
3825,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3826,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3827,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3828,wy,wY,wwYy,糯性,长粒,糯性长粒
3829,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3830,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3831,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3832,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3833,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3834,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3835,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3836,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3837,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3838,wy,wy,wwyy,糯性,短粒,糯性短粒
