实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
3210,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3211,wy,wY,wwYy,糯性,长粒,糯性长粒
3212,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3213,wY,wY,wwYY,糯性,长粒,糯性长粒
3214,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3215,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3216,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3217,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3218,wy,wY,wwYy,糯性,长粒,糯性长粒
3219,wY,wy,wwYy,糯性,长粒,糯性长粒
3220,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3221,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3222,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3223,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3224,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3225,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3226,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3227,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3228,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3229,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3230,wY,wy,wwYy,糯性,长粒,糯性长粒
3231,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3232,wY,wY,wwYY,糯性,长粒,糯性长粒
3233,wy,wY,wwYy,糯性,长粒,糯性长粒
3234,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3235,wy,wY,wwYy,糯性,长粒,糯性长粒
3236,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3237,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3238,wy,wy,wwyy,糯性,短粒,糯性短粒
3239,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3240,wy,wY,wwYy,糯性,长粒,糯性长粒
3241,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3242,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3243,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3244,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3245,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3246,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3247,wy,wy,wwyy,糯性,短粒,糯性短粒
3248,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
3249,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3250,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3251,wY,wy,wwYy,糯性,长粒,糯性长粒
3252,WY,wY,WwYY,非糯性,长粒,非糯性长粒
3253,wy,wy,wwyy,糯性,短粒,糯性短粒
3254,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3255,wy,wY,wwYy,糯性,长粒,糯性长粒
3256,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3257,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3258,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3259,WY,wy,WwYy,非糯性,长粒,非糯性长粒
3260,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3261,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3262,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3263,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3264,wY,WY,WwYY,非糯性,长粒,非糯性长粒
