实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
1,wY,wy,wwYy,糯性,长粒,糯性长粒
2,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
3,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
4,wY,wY,wwYY,糯性,长粒,糯性长粒
5,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
6,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
7,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
8,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
9,WY,wY,WwYY,非糯性,长粒,非糯性长粒
10,wy,WY,WwYy,非糯性,长粒,非糯性长粒
11,wy,wY,wwYy,糯性,长粒,糯性长粒
12,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
13,wy,wy,wwyy,糯性,短粒,糯性短粒
14,wy,wy,wwyy,糯性,短粒,糯性短粒
15,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
16,WY,wY,WwYY,非糯性,长粒,非糯性长粒
17,wY,WY,WwYY,非糯性,长粒,非糯性长粒
18,wy,wy,wwyy,糯性,短粒,糯性短粒
19,wY,wY,wwYY,糯性,长粒,糯性长粒
20,WY,wy,WwYy,非糯性,长粒,非糯性长粒
21,wy,WY,WwYy,非糯性,长粒,非糯性长粒
22,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
23,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
24,WY,WY,WWYY,非糯性,长粒,非糯性长粒
25,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
26,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
27,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
28,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
29,WY,wy,WwYy,非糯性,长粒,非糯性长粒
30,WY,wY,WwYY,非糯性,长粒,非糯性长粒
31,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
32,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
33,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
34,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
35,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
36,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
37,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
38,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
39,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
40,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
41,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
42,wy,wY,wwYy,糯性,长粒,糯性长粒
43,WY,wy,WwYy,非糯性,长粒,非糯性长粒
44,wY,wY,wwYY,糯性,长粒,糯性长粒
45,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
46,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
47,wY,WY,WwYY,非糯性,长粒,非糯性长粒
48,wy,WY,WwYy,非糯性,长粒,非糯性长粒
49,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
50,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
51,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
52,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
53,wy,wY,wwYy,糯性,长粒,糯性长粒
54,WY,WY,WWYY,非糯性,长粒,非糯性长粒
55,wY,WY,WwYY,非糯性,长粒,非糯性长粒
56,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
57,wy,WY,WwYy,非糯性,长粒,非糯性长粒
58,wy,wY,wwYy,糯性,长粒,糯性长粒
59,WY,WY,WWYY,非糯性,长粒,非糯性长粒
60,wy,wY,wwYy,糯性,长粒,糯性长粒
61,wy,WY,WwYy,非糯性,长粒,非糯性长粒
62,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
63,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
64,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
65,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
66,wy,wY,wwYy,糯性,长粒,糯性长粒
67,wy,WY,WwYy,非糯性,长粒,非糯性长粒
68,wy,WY,WwYy,非糯性,长粒,非糯性长粒
69,WY,wy,WwYy,非糯性,长粒,非糯性长粒
70,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
71,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
72,wY,wY,wwYY,糯性,长粒,糯性长粒
73,WY,wY,WwYY,非糯性,长粒,非糯性长粒
74,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
75,WY,wY,WwYY,非糯性,长粒,非糯性长粒
76,wY,wY,wwYY,糯性,长粒,糯性长粒
77,WY,wY,WwYY,非糯性,长粒,非糯性长粒
78,wY,wY,wwYY,糯性,长粒,糯性长粒
79,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
80,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
81,wY,wy,wwYy,糯性,长粒,糯性长粒
82,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
83,wy,WY,WwYy,非糯性,长粒,非糯性长粒
84,wY,wY,wwYY,糯性,长粒,糯性长粒
85,wY,wy,wwYy,糯性,长粒,糯性长粒
86,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
87,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
88,WY,WY,WWYY,非糯性,长粒,非糯性长粒
89,wy,WY,WwYy,非糯性,长粒,非糯性长粒
90,wy,WY,WwYy,非糯性,长粒,非糯性长粒
91,WY,wY,WwYY,非糯性,长粒,非糯性长粒
92,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
93,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
94,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
95,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
96,wy,wy,wwyy,糯性,短粒,糯性短粒
97,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
98,WY,WY,WWYY,非糯性,长粒,非糯性长粒
99,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
100,wY,wy,wwYy,糯性,长粒,糯性长粒
101,wY,WY,WwYY,非糯性,长粒,非糯性长粒
102,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
103,wy,WY,WwYy,非糯性,长粒,非糯性长粒
104,wY,wY,wwYY,糯性,长粒,糯性长粒
105,wy,wY,wwYy,糯性,长粒,糯性长粒
106,wy,wY,wwYy,糯性,长粒,糯性长粒
107,wY,WY,WwYY,非糯性,长粒,非糯性长粒
108,WY,WY,WWYY,非糯性,长粒,非糯性长粒
109,wy,WY,WwYy,非糯性,长粒,非糯性长粒
110,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
111,WY,wy,WwYy,非糯性,长粒,非糯性长粒
112,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
113,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
114,wY,wy,wwYy,糯性,长粒,糯性长粒
115,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
116,wY,wY,wwYY,糯性,长粒,糯性长粒
117,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
118,wy,WY,WwYy,非糯性,长粒,非糯性长粒
119,wY,wy,wwYy,糯性,长粒,糯性长粒
120,WY,wy,WwYy,非糯性,长粒,非糯性长粒
121,wy,wY,wwYy,糯性,长粒,糯性长粒
122,wY,WY,WwYY,非糯性,长粒,非糯性长粒
123,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
124,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
125,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
126,WY,WY,WWYY,非糯性,长粒,非糯性长粒
127,wY,wy,wwYy,糯性,长粒,糯性长粒
128,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
129,wy,WY,WwYy,非糯性,长粒,非糯性长粒
130,wY,WY,WwYY,非糯性,长粒,非糯性长粒
131,wy,wy,wwyy,糯性,短粒,糯性短粒
132,wy,WY,WwYy,非糯性,长粒,非糯性长粒
133,wy,wy,wwyy,糯性,短粒,糯性短粒
134,wY,wy,wwYy,糯性,长粒,糯性长粒
135,wY,wy,wwYy,糯性,长粒,糯性长粒
136,wY,wy,wwYy,糯性,长粒,糯性长粒
137,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
138,WY,wy,WwYy,非糯性,长粒,非糯性长粒
139,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
140,WY,WY,WWYY,非糯性,长粒,非糯性长粒
141,wY,wY,wwYY,糯性,长粒,糯性长粒
142,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
143,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
144,wy,wy,wwyy,糯性,短粒,糯性短粒
145,wY,wY,wwYY,糯性,长粒,糯性长粒
146,wy,wY,wwYy,糯性,长粒,糯性长粒
147,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
148,wy,WY,WwYy,非糯性,长粒,非糯性长粒
149,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
150,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
151,wy,WY,WwYy,非糯性,长粒,非糯性长粒
152,WY,WY,WWYY,非糯性,长粒,非糯性长粒
153,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
154,wY,wy,wwYy,糯性,长粒,糯性长粒
155,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
156,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
157,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
158,wY,WY,WwYY,非糯性,长粒,非糯性长粒
159,wY,wy,wwYy,糯性,长粒,糯性长粒
160,WY,WY,WWYY,非糯性,长粒,非糯性长粒
161,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
162,wY,wy,wwYy,糯性,长粒,糯性长粒
163,wY,wY,wwYY,糯性,长粒,糯性长粒
164,WY,WY,WWYY,非糯性,长粒,非糯性长粒
165,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
166,wY,wY,wwYY,糯性,长粒,糯性长粒
167,wY,wy,wwYy,糯性,长粒,糯性长粒
