实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
1,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
2,wy,wY,wwYy,糯性,长粒,糯性长粒
3,WY,wy,WwYy,非糯性,长粒,非糯性长粒
4,WY,wY,WwYY,非糯性,长粒,非糯性长粒
5,wY,WY,WwYY,非糯性,长粒,非糯性长粒
6,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
7,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
8,wY,WY,WwYY,非糯性,长粒,非糯性长粒
9,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
10,WY,WY,WWYY,非糯性,长粒,非糯性长粒
11,wy,WY,WwYy,非糯性,长粒,非糯性长粒
12,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
13,wy,wY,wwYy,糯性,长粒,糯性长粒
14,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
15,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
16,WY,wY,WwYY,非糯性,长粒,非糯性长粒
17,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
18,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
19,wy,WY,WwYy,非糯性,长粒,非糯性长粒
20,wY,WY,WwYY,非糯性,长粒,非糯性长粒
21,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
22,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
23,WY,wY,WwYY,非糯性,长粒,非糯性长粒
24,WY,WY,WWYY,非糯性,长粒,非糯性长粒
25,WY,WY,WWYY,非糯性,长粒,非糯性长粒
26,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
27,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
28,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
29,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
30,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
31,WY,WY,WWYY,非糯性,长粒,非糯性长粒
32,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
33,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
34,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
35,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
36,wy,wY,wwYy,糯性,长粒,糯性长粒
37,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
38,WY,WY,WWYY,非糯性,长粒,非糯性长粒
39,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
40,wy,WY,WwYy,非糯性,长粒,非糯性长粒
41,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
42,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
43,WY,WY,WWYY,非糯性,长粒,非糯性长粒
44,wy,wy,wwyy,糯性,短粒,糯性短粒
45,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
46,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
47,WY,wY,WwYY,非糯性,长粒,非糯性长粒
48,WY,WY,WWYY,非糯性,长粒,非糯性长粒
49,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
50,wY,wy,wwYy,糯性,长粒,糯性长粒
51,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
52,WY,WY,WWYY,非糯性,长粒,非糯性长粒
53,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
