实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
1,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
2,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
4,wy,WY,WwYy,非糯性,长粒,非糯性长粒
5,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
6,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
7,WY,WY,WWYY,非糯性,长粒,非糯性长粒
8,wY,wY,wwYY,糯性,长粒,糯性长粒
9,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
10,wy,wY,wwYy,糯性,长粒,糯性长粒
